Date,google,bitcoin
2020-01-05,36,7347.89
2020-01-12,36,8021.49
2020-01-19,32,8910.85
2020-01-26,34,8327.36
2020-02-02,36,9378.09
2020-02-09,42,9907.12
2020-02-16,36,9904.17
2020-02-23,38,9669.63
2020-03-01,34,8534.17
2020-03-08,62,8898.63
2020-03-15,66,5166.26
2020-03-22,48,6189.85
2020-03-29,40,6260.95
2020-04-05,42,6871.69
2020-04-12,40,6891.6
2020-04-19,40,7259.36
2020-04-26,52,7549.52
2020-05-03,58,8973.82
2020-05-10,66,9527.39
2020-05-17,46,9385.7
2020-05-24,42,9178.32
2020-05-31,42,9698.1
2020-06-07,38,9670.43
2020-06-14,36,9473.5
2020-06-21,34,9357.43
2020-06-28,34,9004.23
2020-07-05,32,9131.31
2020-07-12,36,9235.96
2020-07-19,34,9174.71
2020-07-26,56,9707.5
2020-08-02,50,11823.69
2020-08-09,44,11767.6
2020-08-16,44,11873.98
2020-08-23,38,11683.44
2020-08-30,40,11481.64
2020-09-06,36,10159.62
2020-09-13,34,10446.44
2020-09-20,32,11081.43
2020-09-27,30,10732.4
2020-10-04,30,10551.77
2020-10-11,32,11302.67
2020-10-18,42,11366.51
2020-10-25,46,13128.46
2020-11-01,50,13810.32
2020-11-08,52,14839.84
2020-11-15,72,16091.07
2020-11-22,78,18699.75
2020-11-29,70,17732.42
2020-12-06,54,19155.06
2020-12-13,88,18803.44
2020-12-20,88,23869.92
2020-12-27,134,26443.21
2021-01-03,210,32195.46
2021-01-10,202,40240.72
2021-01-17,130,36065.2
2021-01-24,124,32099.74
2021-01-31,110,34318.1
2021-02-07,188,39323.26
2021-02-14,182,47185.19
2021-02-21,200,56001.2
2021-02-28,136,46155.87
2021-03-07,132,48881.59
2021-03-14,128,61258.73
2021-03-21,120,58085.8
2021-03-28,114,55863.93
2021-04-04,104,57076.49
2021-04-11,132,59774
2021-04-18,170,60087.09
2021-04-25,126,50110.53
2021-05-02,110,57857.5
2021-05-09,146,58928.81
2021-05-16,244,46736.58
2021-05-23,172,37528.3
2021-05-30,128,34647.67
2021-06-06,130,35530.38
2021-06-13,102,35494.9
2021-06-20,120,35524.17
2021-06-27,90,32160.91
2021-07-04,72,34688.98
2021-07-11,72,33515.57
2021-07-18,86,31520.66
2021-07-25,100,34279.34
2021-08-01,80,41659.06
2021-08-08,94,44634.13
2021-08-15,82,47112.19
2021-08-22,84,48932.02
2021-08-29,72,48897.65
2021-09-05,96,49947.38
2021-09-12,68,45144.79
2021-09-19,86,48259.45
2021-09-26,72,42742.01
2021-10-03,86,47727.1
2021-10-10,92,55122.59
2021-10-17,118,60948.78
2021-10-24,92,61277.28
2021-10-31,78,61731.29
2021-11-07,94,61516.31
2021-11-14,94,64420.94
2021-11-21,90,59777.98
2021-11-28,94,54801.15
2021-12-05,100,49253.86
2021-12-12,88,49379.67
2021-12-19,82,46863.67
2021-12-26,78,50470.89
2022-01-02,92,47763.33
2022-01-09,92,41690.93
2022-01-16,100,43146.53
2022-01-23,126,35071.43
2022-01-30,90,38186.49
2022-02-06,90,41435.43
2022-02-13,76,42245.56
2022-02-20,98,40115.05
2022-02-27,92,39103.91
2022-03-06,82,39399.58
2022-03-13,68,38809.18
2022-03-20,70,42222.32
2022-03-27,74,44542.39
2022-04-03,64,45825.36
2022-04-10,66,42787.69
2022-04-17,60,40388.78
2022-04-24,62,39429.01
2022-05-01,64,37661.19
2022-05-08,138,35471.42
2022-05-15,90,30074.61
2022-05-22,74,29409.92
2022-05-29,68,29013.69
