Year,Month,TOTAL
2010,1,"57,895,059"
2010,2,"53,134,779"
2010,3,"67,703,397"
2010,4,"64,896,774"
2010,5,"67,223,086"
2010,6,"71,096,629"
2010,7,"75,169,345"
2010,8,"72,688,674"
2010,9,"62,903,857"
2010,10,"67,700,757"
2010,11,"63,071,833"
2010,12,"63,993,866"
2011,1,"58,973,763"
2011,2,"54,602,428"
2011,3,"69,123,133"
2011,4,"66,395,631"
2011,5,"69,917,366"
2011,6,"72,593,371"
2011,7,"76,934,242"
2011,8,"73,157,273"
2011,9,"64,203,054"
2011,10,"67,324,276"
2011,11,"63,816,216"
2011,12,"65,094,040"
2012,1,"60,287,641"
2012,2,"58,138,329"
2012,3,"70,588,068"
2012,4,"67,686,947"
2012,5,"70,040,634"
2012,6,"73,485,628"
2012,7,"76,657,857"
2012,8,"75,262,947"
2012,9,"63,926,218"
2012,10,"67,177,431"
2012,11,"64,608,329"
2012,12,"65,263,336"
2013,1,"61,585,678"
2013,2,"57,777,742"
2013,3,"71,752,871"
2013,4,"67,530,194"
2013,5,"71,916,594"
2013,6,"74,393,988"
2013,7,"77,059,347"
2013,8,"75,781,847"
2013,9,"65,134,302"
2013,10,"69,047,967"
2013,11,"63,803,009"
2013,12,"69,538,524"
2014,1,"62,649,977"
2014,2,"57,995,784"
2014,3,"73,366,626"
2014,4,"70,718,749"
2014,5,"74,227,015"
2014,6,"76,623,812"
2014,7,"80,542,221"
2014,8,"78,543,169"
2014,9,"67,514,675"
2014,10,"72,066,151"
2014,11,"66,308,805"
2014,12,"71,292,828"
2015,1,"65,195,155"
2015,2,"60,490,191"
2015,3,"75,899,687"
2015,4,"73,723,937"
2015,5,"77,367,801"
2015,6,"80,014,475"
2015,7,"85,344,350"
2015,8,"82,685,070"
2015,9,"72,101,555"
2015,10,"77,081,460"
2015,11,"71,997,439"
2015,12,"74,730,782"
2016,1,"68,966,324"
2016,2,"65,533,161"
2016,3,"78,976,302"
2016,4,"75,491,008"
2016,5,"80,620,724"
2016,6,"84,165,194"
2016,7,"87,570,249"
2016,8,"84,152,822"
2016,9,"75,782,470"
2016,10,"78,614,867"
2016,11,"74,922,872"
2016,12,"77,193,306"
2017,1,"71,598,111"
2017,2,"65,788,160"
2017,3,"81,873,930"
2017,4,"79,785,527"
2017,5,"83,308,370"
2017,6,"87,422,870"
2017,7,"91,265,724"
2017,8,"88,677,138"
2017,9,"74,583,264"
2017,10,"82,229,641"
2017,11,"78,388,407"
2017,12,"79,843,803"
2018,1,"73,728,946"
2018,2,"69,799,120"
2018,3,"86,360,909"
2018,4,"83,669,735"
2018,5,"87,972,704"
2018,6,"92,325,890"
2018,7,"96,294,962"
2018,8,"93,248,190"
2018,9,"78,519,949"
2018,10,"85,912,940"
2018,11,"82,212,398"
2018,12,"83,166,761"
2019,1,"76,725,079"
2019,2,"71,960,017"
2019,3,"90,530,076"
2019,4,"86,957,958"
2019,5,"92,359,258"
2019,6,"95,537,871"
2019,7,"99,189,775"
2019,8,"95,968,379"
2019,9,"82,833,675"
2019,10,"88,919,490"
2019,11,"82,402,530"
2019,12,"89,597,073"
